SCAN	FA	MD	L1	RD	DIAM	DENS
t1	7.47E-01	7.22E-01	1.51E+00	3.29E-01	1.21E+01	3.31E-02
t1	6.81E-01	7.73E-01	1.50E+00	4.08E-01	1.26E+01	3.07E-02
t1	6.20E-01	8.06E-01	1.47E+00	4.72E-01	1.32E+01	2.76E-02
t1	5.58E-01	1.04E+00	1.78E+00	6.67E-01	1.23E+01	2.28E-02
t1	7.94E-01	6.58E-01	1.44E+00	2.66E-01	1.17E+01	3.41E-02
t1	7.70E-01	7.03E-01	1.50E+00	3.04E-01	1.16E+01	3.29E-02
t1	8.10E-01	6.49E-01	1.45E+00	2.46E-01	1.18E+01	3.31E-02
t1	8.54E-01	5.93E-01	1.41E+00	1.87E-01	1.11E+01	3.86E-02
t1	7.99E-01	6.63E-01	1.47E+00	2.60E-01	1.15E+01	3.56E-02
t1	7.56E-01	7.08E-01	1.49E+00	3.16E-01	1.14E+01	3.71E-02
t1	7.32E-01	7.20E-01	1.48E+00	3.41E-01	1.15E+01	3.74E-02
t1	6.96E-01	7.43E-01	1.47E+00	3.81E-01	1.22E+01	3.35E-02
t1	6.76E-01	7.04E-01	1.36E+00	3.76E-01	1.24E+01	3.19E-02
t1	6.17E-01	6.56E-01	1.19E+00	3.88E-01	1.26E+01	3.15E-02
t1	4.30E-01	7.58E-01	1.15E+00	5.60E-01	1.35E+01	2.65E-02
t1	4.12E-01	8.43E-01	1.25E+00	6.42E-01	1.22E+01	2.81E-02
t1	5.96E-01	7.06E-01	1.25E+00	4.33E-01	1.15E+01	3.48E-02
t1	6.53E-01	7.32E-01	1.38E+00	4.07E-01	1.16E+01	3.47E-02
t1	7.00E-01	7.40E-01	1.47E+00	3.76E-01	1.18E+01	3.31E-02
t1	7.47E-01	7.14E-01	1.49E+00	3.26E-01	1.16E+01	3.55E-02
t1	7.20E-01	7.52E-01	1.53E+00	3.66E-01	1.16E+01	3.65E-02
t1	6.65E-01	8.04E-01	1.54E+00	4.36E-01	1.22E+01	3.20E-02
t1	6.22E-01	8.20E-01	1.50E+00	4.79E-01	1.24E+01	2.94E-02
t1	5.66E-01	8.43E-01	1.46E+00	5.33E-01	1.31E+01	2.31E-02
t1	6.89E-01	7.84E-01	1.53E+00	4.13E-01	1.14E+01	3.27E-02
t1	7.55E-01	7.01E-01	1.47E+00	3.17E-01	1.20E+01	3.18E-02
t1	7.52E-01	7.08E-01	1.48E+00	3.22E-01	1.20E+01	3.30E-02
t1	7.97E-01	6.44E-01	1.42E+00	2.56E-01	1.17E+01	3.50E-02
t1	7.98E-01	6.46E-01	1.43E+00	2.56E-01	1.12E+01	3.68E-02
t1	7.42E-01	7.20E-01	1.49E+00	3.34E-01	1.11E+01	3.57E-02
t1	7.16E-01	7.42E-01	1.50E+00	3.65E-01	1.22E+01	3.21E-02
t1	6.79E-01	7.72E-01	1.50E+00	4.10E-01	1.15E+01	3.59E-02
t1	6.43E-01	7.86E-01	1.47E+00	4.45E-01	1.20E+01	3.38E-02
t1	6.46E-01	6.90E-01	1.29E+00	3.90E-01	1.23E+01	3.26E-02
